Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
1,Steel,HSS Tube - HSS6x6x1/4,"L: 72.0""",1,19.02,114.12,A992 Steel
2,Steel,HSS Tube - HSS6x6x1/4,"L: 120.0""",1,19.02,190.20,A992 Steel
3,Steel Connections,Shear Tab,,2,,,
