Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
438,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
439,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
440,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
441,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
442,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
443,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
444,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
445,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
446,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
447,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
448,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
449,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
450,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
451,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
452,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
453,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
454,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
455,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
456,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
457,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
458,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
459,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
460,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
461,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
462,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
463,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
464,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
465,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
466,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
467,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
468,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
469,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
470,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
471,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
472,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
473,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
474,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
475,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
476,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
477,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
478,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
479,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
480,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
481,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
482,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
483,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
484,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
485,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
486,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
487,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
488,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
489,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
490,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
491,Glazing,"Glazing - 30.0""x96.0""",,1,,,Plexiglass
492,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
493,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
494,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
495,Glazing,"Glazing - 30.0""x96.0""",,1,,,Plexiglass
496,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
497,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
498,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
499,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
500,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
501,Glazing,"Glazing - 30.0""x96.0""",,1,,,Plexiglass
502,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
503,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
504,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
505,Glazing,"Glazing - 30.0""x96.0""",,1,,,Plexiglass
506,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
507,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
508,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
509,Sheet Metal,"Sheet Metal Panel - 28.8""x57.0"" (16ga)",16ga,1,,27.84,Galvanized Steel
510,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
511,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
512,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
513,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
514,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
515,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
516,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
517,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
518,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
519,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
520,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
521,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
522,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
523,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
524,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
525,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
526,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
527,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
528,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
529,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
530,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
531,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
532,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
533,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
534,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
535,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
536,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
537,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x48.0"" (16ga)",16ga,1,,25.12,Galvanized Steel
538,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
539,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
540,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
541,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
542,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
543,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
544,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
545,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
546,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
547,Sheet Metal,"Sheet Metal Panel - 36.0""x48.0"" (16ga)",16ga,1,,29.31,Galvanized Steel
548,Sheet Metal,"Sheet Metal Panel - 36.0""x48.0"" (16ga)",16ga,1,,29.31,Galvanized Steel
549,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
550,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
551,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
552,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
553,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
554,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
555,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
556,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
557,Sheet Metal,"Sheet Metal Panel - 32.0""x48.0"" (16ga)",16ga,1,,26.05,Galvanized Steel
558,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
559,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
560,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
561,Sheet Metal,"Sheet Metal Panel - 36.0""x48.0"" (16ga)",16ga,1,,29.31,Galvanized Steel
562,Sheet Metal,"Sheet Metal Panel - 36.0""x48.0"" (16ga)",16ga,1,,29.31,Galvanized Steel
563,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
564,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
565,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
566,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
567,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
568,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
569,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
570,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
571,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
572,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
573,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
574,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
575,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
576,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
577,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
578,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
579,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
580,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
581,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
582,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
583,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
584,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
585,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
586,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
587,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
588,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
589,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
590,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
591,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
592,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
593,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
594,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
595,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
596,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
597,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
598,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
599,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
600,Sheet Metal,"Sheet Metal Panel - 28.8""x96.0"" (16ga)",16ga,1,,46.89,Galvanized Steel
601,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
602,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
603,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
604,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
605,Sheet Metal,"Sheet Metal Panel - 28.8""x48.0"" (16ga)",16ga,1,,23.44,Galvanized Steel
606,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
607,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
608,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
609,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
610,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
611,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
612,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
613,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
614,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
615,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
616,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
617,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
618,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
619,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
620,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
621,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
622,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
623,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
624,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
625,Sheet Metal,"Sheet Metal Panel - 32.0""x12.0"" (16ga)",16ga,1,,6.51,Galvanized Steel
626,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
627,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
628,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
629,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
630,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
631,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
632,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
633,Sheet Metal,"Sheet Metal Panel - 32.0""x36.0"" (16ga)",16ga,1,,19.54,Galvanized Steel
634,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
635,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
636,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
637,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
638,Sheet Metal,"Sheet Metal Panel - 36.0""x36.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
639,Sheet Metal,"Sheet Metal Panel - 36.0""x36.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
640,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
641,Sheet Metal,"Sheet Metal Panel - 36.0""x12.0"" (16ga)",16ga,1,,7.33,Galvanized Steel
642,Sheet Metal,"Sheet Metal Panel - 36.0""x36.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
643,Sheet Metal,"Sheet Metal Panel - 36.0""x36.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
644,MEP - Ductwork,Rectangular Duct - Elbow,"36.0""W x 72.0""H",1,,,
645,MEP - Ductwork,Rectangular Duct - Straight,"36.0""W x 72.0""H, L: 96.0""",1,,,
646,MEP - Ductwork,Rectangular Duct - Elbow,"36.0""W x 72.0""H",1,,,
647,MEP - Ductwork,Rectangular Duct - Straight,"36.0""W x 72.0""H, L: 96.0""",1,,,
648,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
649,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
650,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
651,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
652,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
653,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
654,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
655,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
656,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
657,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
658,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
659,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
660,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
661,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
662,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
663,Sheet Metal,"Sheet Metal Panel - 31.5""x48.0"" (16ga)",16ga,1,,25.64,Galvanized Steel
664,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
665,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
666,Sheet Metal,"Sheet Metal Panel - 31.5""x96.0"" (16ga)",16ga,1,,51.28,Galvanized Steel
667,Sheet Metal - Parts,"Part - 31.5""x60.0"" (16ga)",16ga,1,,32.05,Galvanized Steel
668,Sheet Metal - Parts,"Part - 31.5""x12.0"" (16ga)",16ga,1,,6.41,Galvanized Steel
669,Sheet Metal - Parts,"Part - 3.8""x24.0"" (16ga)",16ga,1,,1.53,Galvanized Steel
670,Sheet Metal - Parts,"Part - 3.8""x24.0"" (16ga)",16ga,1,,1.53,Galvanized Steel
671,Glazing,"Glazing - 24.0""x24.0""",,1,,,Plexiglass
