Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
255,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
256,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
257,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
258,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
259,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
260,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
261,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
262,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
263,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
264,Sheet Metal,"Sheet Metal Panel - 30.4""x96.0"" (16ga)",16ga,1,,49.49,Galvanized Steel
265,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
266,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
267,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
268,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
269,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
270,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
271,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
272,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
273,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
274,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
275,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
276,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
277,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
278,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
279,Sheet Metal,"Sheet Metal Panel - 30.4""x57.0"" (16ga)",16ga,1,,29.39,Galvanized Steel
280,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
281,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
282,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
283,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
284,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
285,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
286,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
287,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
288,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
289,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
290,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
291,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
292,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
293,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
294,Sheet Metal,"Sheet Metal Panel - 30.4""x72.0"" (16ga)",16ga,1,,37.12,Galvanized Steel
295,Sheet Metal,"Sheet Metal Panel - 36.0""x96.0"" (16ga)",16ga,1,,58.61,Galvanized Steel
296,Sheet Metal,"Sheet Metal Panel - 36.0""x96.0"" (16ga)",16ga,1,,58.61,Galvanized Steel
297,Sheet Metal,"Sheet Metal Panel - 36.0""x57.0"" (16ga)",16ga,1,,34.80,Galvanized Steel
298,Sheet Metal,"Sheet Metal Panel - 36.0""x57.0"" (16ga)",16ga,1,,34.80,Galvanized Steel
299,Sheet Metal,"Sheet Metal Panel - 36.0""x96.0"" (16ga)",16ga,1,,58.61,Galvanized Steel
300,Sheet Metal,"Sheet Metal Panel - 36.0""x96.0"" (16ga)",16ga,1,,58.61,Galvanized Steel
301,Sheet Metal,"Sheet Metal Panel - 36.0""x57.0"" (16ga)",16ga,1,,34.80,Galvanized Steel
302,Sheet Metal,"Sheet Metal Panel - 36.0""x57.0"" (16ga)",16ga,1,,34.80,Galvanized Steel
303,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
304,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
305,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
306,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
307,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
308,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
309,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
310,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
311,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
312,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
313,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
314,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
315,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
316,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
317,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
318,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
319,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
320,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
321,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
322,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
323,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
324,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
325,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
326,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
327,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
328,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
329,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
330,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
331,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
332,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
333,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
334,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
335,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
336,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
337,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
338,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
339,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
340,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
341,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
342,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
343,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
344,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
345,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
346,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
347,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
348,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
349,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
350,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
351,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
352,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
353,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
354,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
355,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
356,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
357,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
358,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
359,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
360,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
361,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
362,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,24.42,Galvanized Steel
363,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
364,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
365,Sheet Metal,"Sheet Metal Panel - 24.0""x57.0"" (16ga)",16ga,1,,23.20,Galvanized Steel
366,Sheet Metal,"Sheet Metal Panel - 24.0""x57.0"" (16ga)",16ga,1,,23.20,Galvanized Steel
367,Sheet Metal,"Sheet Metal Panel - 24.0""x36.0"" (16ga)",16ga,1,,14.65,Galvanized Steel
368,Sheet Metal,"Sheet Metal Panel - 24.0""x36.0"" (16ga)",16ga,1,,14.65,Galvanized Steel
369,Sheet Metal,"Sheet Metal Panel - 24.0""x36.0"" (16ga)",16ga,1,,14.65,Galvanized Steel
370,Sheet Metal,"Sheet Metal Panel - 24.0""x36.0"" (16ga)",16ga,1,,14.65,Galvanized Steel
371,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
372,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
373,Sheet Metal,"Sheet Metal Panel - 24.0""x54.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
374,Sheet Metal,"Sheet Metal Panel - 24.0""x54.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
375,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
376,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
