Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
1,MEP - Ductwork,Rectangular Duct - Elbow,"20.0""W x 10.0""H",1,,,
2,MEP - Ductwork,Round Duct - Elbow,"4.0"" Dia",1,,,Carbon Steel
3,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
4,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
5,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
6,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
7,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
8,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
9,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
10,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
11,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
12,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
13,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
14,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
15,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
16,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
17,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
18,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
19,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
20,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
21,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
22,Sheet Metal - Parts,"Part - 30.0""x6.0"" (16ga)","L: 0.0598"", 16ga",1,,,Galvanized Steel
23,Sheet Metal - Parts,"Part - 30.0""x18.0"" (16ga)","L: 0.0598"", 16ga",1,,,Galvanized Steel
24,Sheet Metal - Parts,"Part - 3.0""x24.0"" (16ga)","L: 0.0598"", 16ga",1,,,Galvanized Steel
25,Sheet Metal - Parts,"Part - 3.0""x24.0"" (16ga)","L: 0.0598"", 16ga",1,,,Galvanized Steel
26,Glazing,"Glazing - 24.0""x24.0""",,1,,,Plexiglass
27,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
28,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
