Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
29,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
30,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
31,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
32,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
33,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
34,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
35,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
36,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
37,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
38,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
39,Sheet Metal,"Sheet Metal Panel - 30.0""x30.0"" (16ga)",16ga,1,,,Galvanized Steel
40,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
41,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
42,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
43,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
44,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
45,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
46,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
47,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
48,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
49,Sheet Metal,"Sheet Metal Panel - 30.0""x48.0"" (16ga)",16ga,1,,,Galvanized Steel
50,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
51,Sheet Metal,"Sheet Metal Panel - 30.0""x12.0"" (16ga)",16ga,1,,,Galvanized Steel
